rank,cum_expected_profit
667,11645.737392923196
668,11655.28896498361
669,11664.832491397006
670,11674.373575931779
671,11683.8736158821
672,11693.362327473951
673,11702.833301445673
674,11712.272917150403
675,11721.705969202065
676,11731.061252057465
677,11740.40743063969
678,11749.739619883532
679,11759.01429499218
680,11768.210458752368
681,11777.396476256157
682,11786.51747774357
683,11795.615170250958
684,11804.704855551716
685,11813.747852398492
686,11822.74081501151
687,11831.693738999411
688,11840.551779504569
689,11849.393546775755
690,11858.227954135338
691,11867.049528849924
692,11875.83930879202
693,11884.624448817483
694,11893.408220367892
695,11902.186882467762
696,11910.964794917616
697,11919.72518097552
698,11928.445547377374
699,11937.14909948126
700,11945.804404124838
701,11954.453064062
702,11963.073039270841
703,11971.69016166389
704,11980.28640128951
705,11988.881158963955
706,11997.381744908516
707,12005.874744154917
708,12014.363482332317
709,12022.849785405646
710,12031.334528008576
711,12039.815984137327
712,12048.272949789563
713,12056.71420484726
714,12065.142554422953
715,12073.541299376171
716,12081.932207478472
717,12090.295464543915
718,12098.647094915408
719,12106.985770745494
720,12115.287190878998
721,12123.576500972162
722,12131.865231360933
723,12140.140247236392
724,12148.348160133519
725,12156.55413292613
726,12164.755119740927
727,12172.93676851285
728,12181.11820557389
729,12189.238492455639
730,12197.351889046959
731,12205.461167675876
732,12213.56752707645
733,12221.628853994569
734,12229.685839770602
735,12237.742657125777
736,12245.783877092523
737,12253.81423898276
738,12261.83246234074
739,12269.809687898976
740,12277.779476012309
741,12285.748276267257
742,12293.705717106268
743,12301.659052494686
744,12309.611799341232
745,12317.438679033316
746,12325.25407457202
747,12333.067463318119
748,12340.87913635429
749,12348.68702117312
750,12356.491447094628
751,12364.276779523047
752,12372.018391777188
753,12379.673182856666
754,12387.317370150637
755,12394.93067468508
756,12402.501348629768
757,12410.047960823907
758,12417.588119552966
759,12425.111547205282
760,12432.603738464419
761,12440.08280558334
762,12447.557297161473
763,12455.015191423581
764,12462.459113360468
765,12469.892581598131
766,12477.325274574125
767,12484.7556185237
768,12492.139643710785
769,12499.510026970884
770,12506.866009882722
771,12514.190502869504
772,12521.469579879082
773,12528.722022439333
774,12535.95582271939
775,12543.185143201132
776,12550.41251312378
777,12557.636754855335
778,12564.82870591829
779,12571.993329015446
780,12579.12578230524
781,12586.203479790145
782,12593.269247985842
783,12600.304097053699
784,12607.33731252012
785,12614.347810640189
786,12621.35397338301
787,12628.346049648047
788,12635.324705593155
789,12642.2704313622
790,12649.215637132824
791,12656.15725015658
792,12663.090417981448
793,12670.022572207734
794,12676.945322776171
795,12683.864655831874
796,12690.768780515175
797,12697.670082677312
798,12704.550462569377
799,12711.423116600297
800,12718.269754720492
801,12725.093577176993
802,12731.912467955066
803,12738.722741026413
804,12745.513763913585
805,12752.285766311492
806,12759.035393812232
807,12765.772154772085
808,12772.50584656059
809,12779.226157170222
810,12785.89698042535
811,12792.551912732628
812,12799.17446843764
813,12805.778354294353
814,12812.371069743918
815,12818.955869198106
816,12825.534177441665
817,12832.110959288364
818,12838.66746232874
819,12845.219102787987
820,12851.727652101386
821,12858.222047126936
822,12864.712562656421
823,12871.202626128046
824,12877.689126140409
825,12884.138448443493
826,12890.508091726262
827,12896.876243811554
828,12903.242536931424
829,12909.601427068828
830,12915.96020120128
831,12922.299156187917
832,12928.623749319884
833,12934.929686713109
834,12941.23463859585
835,12947.537044428871
836,12953.8331691128
837,12960.119780005774
838,12966.382101210946
839,12972.640079976536
840,12978.84339837588
841,12985.046332960343
842,12991.245687592143
843,12997.398725201581
844,13003.54889263422
845,13009.69293291339
846,13015.831999856286
847,13021.94969860604
848,13028.0229100548
849,13034.080059801252
850,13040.125197483672
851,13046.155305076078
852,13052.142420801943
853,13058.1145439584
854,13064.085296322142
855,13070.051616874429
856,13076.006933689787
857,13081.95619928609
858,13087.901680669733
859,13093.837401559023
860,13099.772140384111
861,13105.698125937239
862,13111.623867211865
863,13117.528029774785
864,13123.426234426894
865,13129.318254623253
866,13135.151464379576
867,13140.978193600307
868,13146.79357013082
869,13152.607831246049
870,13158.402009543182
871,13164.19315484645
872,13169.975993144304
873,13175.746385582475
874,13181.508175868086
875,13187.260823013956
876,13193.004889894944
877,13198.685194783611
878,13204.353088556029
879,13210.009275445274
880,13215.646981598054
881,13221.284233657014
882,13226.921453304243
883,13232.533676234
884,13238.132101311654
885,13243.729071996024
886,13249.316469248872
887,13254.89598993099
888,13260.46590130089
889,13266.02978159794
890,13271.581309880796
891,13277.112409835381
892,13282.639214596016
893,13288.16286830345
894,13293.662935611423
895,13299.13553935554
896,13304.590422972353
897,13310.044765679972
898,13315.489361254502
899,13320.923347145419
900,13326.353809284945
901,13331.776501050921
902,13337.188290326663
903,13342.570672345524
904,13347.935305979472
905,13353.284621117355
906,13358.622221409243
907,13363.9335962867
908,13369.231868096578
909,13374.529924073448
910,13379.80675164086
911,13385.07792959486
912,13390.343070009343
913,13395.5990345119
914,13400.853334189776
915,13406.10598842604
916,13411.336390816463
917,13416.554426657482
918,13421.763334498806
919,13426.965909169237
920,13432.160681462976
921,13437.350841032803
922,13442.516577797101
